iter	RMSE
0	0.0206471953
1	0.02061950561
2	0.02058689317
3	0.02055423279
4	0.0205287708
5	0.02049540796
6	0.02047322004
7	0.0204434164
8	0.02041980358
9	0.02038959693
10	0.02036512885
11	0.02032934086
12	0.02030028305
13	0.02027762909
14	0.02024359223
15	0.02022661144
16	0.02021079161
17	0.02018697072
18	0.02016455354
19	0.0201411873
20	0.02010690861
21	0.02006302737
22	0.02004330405
23	0.02002832804
24	0.0199990373
25	0.01997593933
26	0.01995855701
27	0.01992810179
28	0.01989359885
29	0.01987176823
30	0.0198404222
31	0.01982034406
32	0.01979154719
33	0.01976280228
34	0.01974643294
35	0.01971966865
36	0.01969111015
37	0.01966088846
38	0.01963399951
39	0.01959749249
40	0.01957256646
41	0.0195570575
42	0.01954352422
43	0.01952428125
44	0.01949391129
45	0.0194753991
46	0.01945900818
47	0.01943298064
48	0.01941022167
49	0.01938140161
50	0.01936117472
51	0.01933635909
52	0.01931750457
53	0.01929270931
54	0.01926508322
55	0.01925393167
56	0.01921367114
57	0.01919411542
58	0.01918137651
59	0.01914895104
60	0.0191298072
61	0.01910438713
62	0.01908018444
63	0.01905602899
64	0.01904767599
65	0.01902014826
66	0.01899692236
67	0.01897100429
68	0.01895172554
69	0.01893432432
70	0.01892284846
71	0.01891641224
72	0.01889293158
73	0.01885358537
74	0.01883900308
75	0.01881926251
76	0.01879718896
77	0.01877457498
78	0.01875512948
79	0.01873726901
80	0.01871342426
81	0.01868657875
82	0.01866540213
83	0.01863637141
84	0.01861922695
85	0.01858418184
86	0.01856240148
87	0.01854134586
88	0.01851441864
89	0.01850064782
90	0.01848432144
91	0.01847075166
92	0.01845604065
93	0.01844015585
94	0.01842787059
95	0.01840759634
96	0.01839110563
97	0.01837002236
98	0.01835197202
99	0.01833162809
100	0.01830909706
101	0.01829433772
102	0.01827635594
103	0.01825582028
104	0.01822986174
105	0.01821695289
106	0.01819858601
107	0.01818658756
108	0.0181631184
109	0.01814256419
110	0.01812751053
111	0.01810018081
112	0.01807876173
113	0.0180694889
114	0.0180487674
115	0.01803235083
116	0.0180220146
117	0.018011383
118	0.01799170324
119	0.01796669213
120	0.0179440977
121	0.01792189925
122	0.01790630458
123	0.01789328883
124	0.01786595533
125	0.01785014232
126	0.01783072803
127	0.01780338557
128	0.01779536984
129	0.01777840017
130	0.01776023276
131	0.01774911922
132	0.0177284551
133	0.01771366261
134	0.01768092713
135	0.01765529062
136	0.01764371406
137	0.01762504698
138	0.01760900224
139	0.0175914021
140	0.01757553909
141	0.0175617464
142	0.01754371356
143	0.01753173018
144	0.01750626827
145	0.01748626548
146	0.01747064994
147	0.017449798
148	0.01742812289
149	0.01741318401
150	0.01740449378
151	0.01737659328
152	0.01735318544
153	0.01733484416
154	0.01732201348
155	0.01730842069
156	0.01728489503
157	0.01725826443
158	0.01723684359
159	0.0172197215
160	0.01719761042
161	0.01717510228
162	0.01715868191
163	0.01713712366
164	0.01712213435
165	0.01709939809
166	0.01708266596
167	0.01706745001
168	0.01704901361
169	0.0170294436
170	0.01701047652
171	0.01698853347
172	0.01696968584
173	0.01695741528
174	0.0169417022
175	0.01692376584
176	0.01690971492
177	0.01689058658
178	0.01687491595
179	0.01685105089
180	0.01683061801
181	0.0168083065
182	0.01679412442
183	0.01677478189
184	0.01674882606
185	0.01673050187
186	0.01671616936
187	0.01670093349
188	0.0166866525
189	0.01666908581
190	0.01665390687
191	0.01663949635
192	0.01661791323
193	0.0165971185
194	0.01657888626
195	0.01656210108
196	0.01653667034
197	0.01652368655
198	0.01650282583
199	0.01648263375
